Station,EntryTapCount,ExitTapCount,TotalFlow
Chalk Farm,11984541,9997388,21981929
West Hampstead LO,11062862,10910456,21973318
Caledonian Road,11292911,10619911,21912822
Edgware,10947333,10946716,21894049
Surrey Quays,11339042,10432498,21771540
Southgate,10601433,11149427,21750860
South Woodford,10448409,11157317,21605726
Forest Gate,10815218,10650317,21465535
Homerton,10927203,10351955,21279158
Camden Road,10296216,10962633,21258849
Lancaster Gate,10843598,10333392,21176990
Newbury Park,11055792,10111467,21167259
Finchley Central,10478901,10588916,21067817
Bow Road,10727838,10260720,20988558
Upminster,10121110,10365862,20486972
West Brompton,10279773,9940459,20220232
Custom House EL,10157193,9959745,20116938
Gunnersbury,10276561,9840081,20116642
Chadwell Heath,10132398,9715619,19848017
West Croydon,10218847,9628859,19847706
Heathrow Terminal 5,10982490,8805113,19787603
Forest Hill,10179435,9428438,19607873
Hampstead,9167170,10380487,19547657
Harrow & Wealdstone,10087120,9359927,19447047
Kingsbury,9743254,9659804,19403058
Kew Gardens,9797991,9576512,19374503
Edgware Road B,9460107,9786122,19246229
Norwood Junction,9955023,9136988,19092011
South Wimbledon,9673123,9418265,19091388
West Kensington,9838145,9155700,18993845
Borough,9362923,9551543,18914466
Arnos Grove,9600381,8985061,18585442
Shadwell LO,8259875,10178747,18438622
Burnt Oak,9334701,9090346,18425047
Greenford,9177220,9126118,18303338
Bromley-by-Bow,9205222,9006644,18211866
Watford Junction,9511944,8688183,18200127
Goodmayes,9168593,8924985,18093578
Heron Quays,8699675,8965608,17665283
Tufnell Park,9074644,8533263,17607907
Westbourne Park,9122093,8481645,17603738
Bayswater,9047017,8435933,17482950
Hounslow East,8448682,8953784,17402466
Rayners Lane,8755948,8634306,17390254
High Barnet,8770023,8552243,17322266
Queensbury,8612383,8517648,17130031
Hampstead Heath,8525462,8589773,17115235
Stanmore,8472539,8519215,16991754
Brockley,8709369,8175554,16884923
Dollis Hill,8833667,8044816,16878483
Edmonton Green,8393267,8355064,16748331
Seven Kings,8634356,7999485,16633841
Northwick Park,8341988,8162638,16504626
Sydenham SR,8092314,8122281,16214595
East Acton,7894955,8140563,16035518
Warwick Avenue,8056258,7943781,16000039
Hainault,8112782,7887217,15999999
Greenwich,8229161,7652862,15882023
Becontree,8039549,7713520,15753069
Hounslow Central,7803956,7799014,15602970
Epping,7907291,7682438,15589729
Hackney Wick,7530954,7792931,15323885
Shepherds Bush Market,7875841,7402491,15278332
Mornington Crescent,8374955,6851565,15226520
Hounslow West,7524992,7557116,15082108
Holland Park,7503608,7575767,15079375
Hoxton,7301945,7740996,15042941
Manor Park,7532473,7362047,14894520
Hatton Cross,7406711,7418798,14825509
Loughton,7234876,7406961,14641837
Neasden,7505589,6948667,14454256
Northfields,7174522,7232322,14406844
Lambeth North,7503760,6899809,14403569
South Quay,7485124,6871596,14356720
Harold Wood,7349693,7002237,14351930
Hanger Lane,7315226,7034295,14349521
Heathrow T2&3 TfL Rail/HEx,7211756,7025632,14237388
Dagenham East,7312510,6826337,14138847
Cannon Street ,7473298,6595946,14069244
Arsenal,7064681,6998435,14063116
Imperial Wharf,6976578,6608753,13585331
Elm Park,6859964,6701221,13561185
Queens Rd Peckham,6925634,6570582,13496216
Kilburn Park,6853014,6574327,13427341
Maida Vale,6921408,6490790,13412198
Regents Park,6085324,7261020,13346344
Crystal Palace,6543581,6742364,13285945
Preston Road,6661212,6581959,13243171
Harlesden,6585768,6525346,13111114
Canonbury,6683916,6289495,12973411
Alperton,6298640,6647720,12946360
Ravenscourt Park,6485404,6413922,12899326
Brondesbury,6586580,6299871,12886451
Gidea Park,6646127,6156387,12802514
Gospel Oak,6484207,6264506,12748713
New Cross,6437852,6306292,12744144
Haggerston,6310314,6240062,12550376
South Ealing,6250528,6280746,12531274
Oakwood,6124495,6259956,12384451
Westferry,6563975,5806589,12370564
Highams Park,6363634,5969412,12333046
Kensington Olympia,6213588,5991456,12205044
Kensal Rise,6122241,6019952,12142193
Maryland,6237914,5723967,11961881
Honor Oak Park,5975728,5834028,11809756
Canons Park,5931518,5859712,11791230
Ealing Common,5779311,5817666,11596977
Stonebridge Park,5928839,5667233,11596072
Pinner,5836446,5639980,11476426
West Drayton,5988214,5449647,11437861
Upney,5975131,5405716,11380847
Eastcote,5742987,5629346,11372333
Redbridge,5917101,5454275,11371376
Brentwood,5823428,5512751,11336179
Hackney Downs,5684797,5642439,11327236
East India,5843688,5368204,11211892
Woodside Park,6407141,4758848,11165989
Northwood,5596064,5494965,11091029
Stamford Brook,5654965,5408098,11063063
Wanstead,5376256,5590949,10967205
Tower Gateway,5551613,5363222,10914835
Pontoon Dock DLR,5565106,5337664,10902770
Enfield Town,5519559,5114610,10634169
Royal Oak,5445704,5176765,10622469
Nine Elms,5488072,5077484,10565556
Wapping,5361053,5173243,10534296
Totteridge & Whetstone,5330926,5154852,10485778
Crossharbour,5438353,4921560,10359913
London City Airport,5467498,4845683,10313181
Custom House DLR,5670893,4600609,10271502
Chiswick Park,4864761,5267125,10131886
Brent Cross,5105426,4955050,10060476
Stratford International,5388906,4648381,10037287
Latimer Road,5099241,4881565,9980806
Debden,5038259,4872170,9910429
Perivale,4945532,4876467,9821999
South Harrow,4840300,4965621,9805921
White Hart Lane,4842238,4884346,9726584
Shenfield,4811463,4864767,9676230
Kensal Green,4933835,4678702,9612537
Snaresbrook,4865656,4735624,9601280
Wimbledon Park,4807596,4753967,9561563
Rickmansworth,4817151,4739264,9556415
Royal Victoria,5125938,4359942,9485880
Chingford,4678412,4647297,9325709
Finchley Road & Frognal,4601149,4591563,9192712
Amersham,4649170,4501669,9150839
Buckhurst Hill,4523020,4389749,8912769
Hornchurch,4419877,4492274,8912151
Goldhawk Road,4506590,4351600,8858190
Osterley,4421563,4385689,8807252
Park Royal,4287999,4454347,8742346
Watford Met,4372734,4325966,8698700
Woolwich Arsenal NR,4536045,4127283,8663328
Cockfosters,4285738,4333526,8619264
Kentish Town West,4293195,4314944,8608139
Cheshunt,4307886,4159194,8467080
Silver Street,4418354,3982791,8401145
Wood Street,4287738,4096984,8384722
Sudbury Hill,4191359,4184483,8375842
Kenton,4170661,4166992,8337653
Heathrow T5 TfL Rail/HEx,4220405,4085408,8305813
Cannon Street,4377919,3909717,8287636
Langdon Park,4435677,3774293,8209970
Clapton,4381231,3823903,8205134
South Ruislip,4146055,4030589,8176644
Acton Central,4153940,4021629,8175569
Deptford Bridge,4362682,3789865,8152547
Ruislip,3966972,4044872,8011844
Sudbury Town,4204337,3775008,7979345
Boston Manor,3931042,3984074,7915116
West Ealing,4109703,3632991,7742694
W Silvertown,4002093,3717649,7719742
Northwood Hills,3886520,3737086,7623606
Ruislip Manor,3747000,3783795,7530795
North Harrow,3847584,3678442,7526026
Rotherhithe,3830265,3473050,7303315
Clapham High Street,3685225,3615613,7300838
Island Gardens,4168705,3078572,7247277
Hillingdon,3758551,3462415,7220966
Bethnal Green NR,3402200,3771046,7173246
Caledonian Road & Barnsbury,3512536,3639237,7151773
Devons Road,3785375,3270225,7055600
Bow Church,3635313,3281234,6916547
Heathrow Terminal 4,3615286,3212987,6828273
South Tottenham,3290823,3511216,6802039
North Wembley,3457191,3283778,6740969
Leyton Midland Road,3374731,3351317,6726048
Beckton,3414655,3275023,6689678
West Ruislip,3361232,3288036,6649268
West Finchley,3396167,3204663,6600830
St James Street,3314767,3274988,6589755
London Fields,3142253,3441418,6583671
Barkingside,3128063,3211112,6339175
Watford High Street,3166400,3100751,6267151
Upper Holloway,3167425,3089749,6257174
West Acton,3142718,3076825,6219543
Acton Main Line,3196684,2980092,6176776
Pudding Mill Lane,3152892,2954759,6107651
Harringay Green Lanes,3011638,3049618,6061256
Prince Regent,3210550,2795028,6005578
Wanstead Park,2980983,3009444,5990427
Mill Hill East,3013073,2903601,5916674
Stoke Newington,3103621,2742079,5845700
Mudchute,3101379,2571478,5672857
Bruce Grove,3002456,2548979,5551435
King George V,2796364,2466973,5263337
Chalfont & Latimer,2692333,2565692,5258025
Carpenders Park,2599445,2626407,5225852
Gallions Reach,2644372,2456349,5100721
Fairlop,2586817,2472533,5059350
Bush Hill Park,2658666,2279669,4938335
Chesham,2542762,2367493,4910255
Bushey,2703331,2193045,4896376
Leytonstone High Road,2475692,2419752,4895444
Royal Albert,2530010,2355489,4885499
Southbury,2321588,2527130,4848718
Blackwall,2609524,2237419,4846943
Brondesbury Park,2429435,2397446,4826881
Poplar,2440397,2325927,4766324
Star Lane DLR,2445278,2285015,4730293
Hanwell,2565249,2161440,4726689
Rectory Road,2486366,2184867,4671233
Slough,2298027,2339534,4637561
Cyprus,2355749,2263320,4619069
Turkey Street,2376280,2212192,4588472
Ickenham,2258631,2299647,4558278
West Harrow,2427674,2073882,4501556
All Saints,2361558,2125439,4486997
Ruislip Gardens,2316779,2117390,4434169
Croxley,2225864,2203185,4429049
Walthamstow Queens Road,2126823,2271300,4398123
Woodgrange Park,2245908,2081004,4326912
Anerley,2201555,1933910,4135465
Upminster Bridge,2050121,2016211,4066332
Cambridge Heath,1979686,2010356,3990042
Theydon Bois,1966531,1933115,3899646
Moor Park,1923323,1924410,3847733
Crouch Hill,1913011,1912261,3825272
Kilburn High Road,1838126,1864534,3702660
West India Quay,1893482,1769252,3662734
Heathrow T4 TfL Rail/HEx,1860926,1784145,3645071
South Kenton,1822188,1692513,3514701
Chorleywood,1809120,1680565,3489685
Elverson Road,1900869,1474706,3375575
Theobalds Grove,1715609,1595990,3311599
South Acton,1686678,1582688,3269366
North Ealing,1618673,1546226,3164899
Maidenhead,1525923,1478560,3004483
Hatch End,1493523,1508887,3002410
Wandsworth Road,1509502,1376235,2885737
Abbey Road DLR,1475246,1354576,2829822
Stratford High Street,1320470,1495780,2816250
Penge West,1487736,1324345,2812081
Stamford Hill,1496635,1279999,2776634
Reading,1185912,1225506,2411418
Grange Hill,1162750,1017495,2180245
Headstone Lane,1090063,966641,2056704
South Hampstead,1024729,894681,1919410
Barking Riverside,972552,845794,1818346
Chigwell,943076,810709,1753785
Burnham Bucks,852448,833577,1686025
Beckton Park,832364,711650,1544014
Langley Berks,703059,676712,1379771
Roding Valley,509201,439353,948554
Emerson Park,563251,378782,942033
Unknown,0,824606,824606
Twyford,365329,300030,665359
Iver,295719,269612,565331
Taplow,271936,246096,518032
