Station,EntryTapCount,ExitTapCount,TotalFlow
Warwick Avenue,3789.3969896519284,3736.491533396049,7525.888523047977
Sydenham SR,3720.6041379310345,3734.382068965517,7454.986206896552
East Acton,3631.5340386384546,3744.5091996320148,7376.043238270469
Hainault,3716.3453962437015,3613.0174072377463,7329.362803481447
Greenwich,3762.7622313671695,3499.251028806584,7262.013260173754
Becontree,3703.1547673883,3552.9801934592356,7256.134960847536
Hounslow Central,3623.0064995357475,3620.712163416899,7243.718662952646
Mornington Crescent,3965.414299242424,3244.112215909091,7209.526515151515
Epping,3633.865349264706,3530.532169117647,7164.397518382353
Holland Park,3554.5277119848415,3588.710090004737,7143.237801989579
Hackney Wick,3502.7693023255815,3624.619069767442,7127.3883720930235
Manor Park,3578.3719714964373,3497.4095011876484,7075.781472684085
Hoxton,3431.3651315789475,3637.686090225564,7069.051221804511
Shepherds Bush Market,3621.0763218390803,3403.4441379310347,7024.520459770115
Haggerston,3499.8968386023294,3460.9328896283973,6960.829728230727
Hounslow West,3461.3578656853724,3476.134314627415,6937.492180312787
Arsenal,3422.810562015504,3390.7146317829456,6813.525193798449
Hatton Cross,3397.573853211009,3403.1183486238533,6800.692201834862
Loughton,3315.7085242896424,3394.5742438130155,6710.282768102658
Harold Wood,3434.435981308411,3272.0733644859815,6706.509345794392
Northfields,3326.1576263328698,3352.954102920723,6679.111729253593
Neasden,3465.184210526316,3208.0641735918744,6673.24838411819
Lambeth North,3451.5915363385466,3173.7851885924565,6625.376724931003
Hanger Lane,3363.3222988505745,3234.158620689655,6597.4809195402295
South Quay,3419.4262220191868,3139.1484696208313,6558.5746916400185
Heathrow T2&3 TfL Rail/HEx,3308.1449541284405,3222.7669724770644,6530.911926605505
Dagenham East,3365.16797054763,3141.434422457432,6506.602393005062
Regents Park,2951.17555771096,3521.348205625606,6472.523763336567
Kilburn Park,3274.2541806020067,3141.1022455805064,6415.356426182513
Imperial Wharf,3234.3894297635607,3063.8632359758926,6298.252665739453
Queens Rd Peckham,3210.771441817339,3046.1668984700973,6256.938340287436
Elm Park,3158.362799263352,3085.2767034990793,6243.639502762431
Maida Vale,3174.957798165138,2977.4266055045873,6152.384403669725
Preston Road,3078.1940850277265,3041.5707024029575,6119.764787430684
Crystal Palace,3000.266391563503,3091.4094452086197,6091.675836772123
Harlesden,3048.9666666666667,3020.9935185185186,6069.960185185185
Gidea Park,3126.118062088429,2895.760583254939,6021.878645343368
Alperton,2922.802784222738,3084.7888631090486,6007.591647331787
Canonbury,3081.5656984785614,2899.721069617335,5981.286768095897
Brondesbury,3055.0,2922.018089053803,5977.018089053803
Ravenscourt Park,2992.802953391786,2959.8163359483156,5952.619289340101
Gospel Oak,2988.113824884793,2886.869124423963,5874.982949308755
South Ealing,2930.3928738865447,2944.559774964838,5874.952648851383
New Cross,2965.3855366190696,2904.78673422386,5870.17227084293
Highams Park,3027.418648905804,2839.872502378687,5867.291151284491
Oakwood,2844.6330701346956,2907.5503947979564,5752.183464932652
Maryland,2971.8504049547405,2726.9971414959505,5698.847546450691
Westferry,2999.988574040219,2653.8340950639854,5653.822669104205
Kensington Olympia,2846.352725606963,2744.597343105818,5590.95006871278
Kensal Rise,2809.656264341441,2762.71317117944,5572.369435520881
Redbridge,2850.241329479769,2627.3000963391137,5477.541425818882
Canons Park,2748.6181649675627,2715.3438368860056,5463.962001853568
Honor Oak Park,2762.70365233472,2697.1927877947296,5459.89644012945
Stonebridge Park,2752.478644382544,2631.02739090065,5383.506035283194
Ealing Common,2666.9640055376094,2684.6635902168896,5351.627595754499
Pinner,2697.0637707948244,2606.275415896488,5303.3391866913125
Brentwood,2704.797027403623,2560.497445424988,5265.294472828611
West Drayton,2751.936580882353,2504.4333639705883,5256.369944852941
Eastcote,2648.9792435424356,2596.561808118081,5245.541051660517
Upney,2752.2482726853987,2489.9659143251956,5242.214187010594
Hackney Downs,2619.722119815668,2600.2023041474654,5219.924423963133
Woodside Park,2939.055504587156,2182.957798165138,5122.013302752293
East India,2669.56966651439,2452.3544997715853,5121.924166285975
Northwood,2576.4567219152855,2529.910220994475,5106.366942909761
Stamford Brook,2608.3786900369005,2494.510147601476,5102.888837638377
Tower Gateway,2576.154524361949,2488.7341067285383,5064.888631090487
Wanstead,2474.116889093419,2572.917165209388,5047.034054302807
Pontoon Dock DLR,2542.305162174509,2438.4029237094564,4980.708085883965
Enfield Town,2561.2802784222736,2373.368909512761,4934.649187935035
Royal Oak,2527.0088167053364,2402.2111368909514,4929.219953596287
Wapping,2491.1956319702604,2403.9233271375465,4895.118959107806
Totteridge & Whetstone,2447.6244260789717,2366.7823691460053,4814.406795224977
Crossharbour,2486.6726108824873,2250.3703703703704,4737.042981252858
London City Airport,2506.876662081614,2221.7712058688676,4728.647867950482
Custom House DLR,2590.631795340338,2101.6943809958884,4692.326176336227
Chiswick Park,2243.893450184502,2429.485701107011,4673.379151291513
Brent Cross,2359.25415896488,2289.764325323475,4649.018484288355
Latimer Road,2352.0484317343175,2251.644372693727,4603.692804428044
Stratford International,2465.1903019213173,2126.432296431839,4591.622598353157
White Hart Lane,2271.218574108818,2290.96904315197,4562.187617260788
Debden,2314.3128158015616,2238.020211299954,4552.333027101516
Perivale,2273.807816091954,2242.0537931034482,4515.861609195403
South Harrow,2227.4735388863323,2285.1454210768525,4512.618959963184
Heathrow Terminal 4,2373.7925147734736,2109.6434668417596,4483.435981615233
Shenfield,2219.3095018450185,2243.896217712177,4463.205719557195
Kensal Green,2283.125867653864,2165.063396575659,4448.189264229523
Snaresbrook,2242.237788018433,2182.3152073732717,4424.552995391705
Wimbledon Park,2215.4820276497694,2190.768202764977,4406.2502304147465
Rickmansworth,2215.800827966881,2179.974241030359,4395.77506899724
Royal Victoria,2343.8216735253773,1993.5720164609054,4337.393689986283
Chingford,2168.943903569773,2154.518776077886,4323.462679647659
Finchley Road & Frognal,2127.2071197411005,2122.7753120665743,4249.982431807674
Amersham,2134.605142332415,2066.8820018365473,4201.487144168962
Goldhawk Road,2091.2250580046402,2019.3039443155453,4110.529002320186
Hornchurch,2034.934162062615,2068.266114180479,4103.200276243094
Osterley,2054.629646840149,2037.9595724907063,4092.589219330855
Buckhurst Hill,2075.731987150069,2014.5704451583294,4090.3024323083982
Park Royal,1993.4909344490934,2070.826127382613,4064.3170618317063
Kentish Town West,2006.1658878504672,2016.3289719626168,4022.494859813084
Cockfosters,1995.2225325884544,2017.4702048417132,4012.6927374301677
Woolwich Arsenal NR,2100.0208333333335,1910.7791666666667,4010.8
Watford Met,2013.2292817679559,1991.697053406998,4004.926335174954
Wood Street,1998.013979496738,1909.1258154706431,3907.139794967381
Kenton,1951.6429574169397,1949.9260645765091,3901.5690219934486
Sudbury Hill,1948.5629939562994,1945.366341236634,3893.9293351929336
Cheshunt,1975.1884456671253,1907.0123796423659,3882.200825309491
Silver Street,2037.9861623616237,1837.0807195571956,3875.066881918819
Clapton,2066.618396226415,1803.7278301886793,3870.3462264150944
Heathrow T5 TfL Rail/HEx,1937.7433425160698,1875.761248852158,3813.504591368228
Acton Central,1916.9081679741578,1855.8509460083064,3772.7591139824644
Langdon Park,2030.9876373626373,1728.1561355311355,3759.143772893773
South Ruislip,1900.9880788629068,1848.0463090325538,3749.034387895461
Deptford Bridge,1994.824874256973,1732.9058070416095,3727.7306812985826
Ruislip,1830.6285186894324,1866.5768343331795,3697.2053530226117
Sudbury Town,1947.3538675312645,1748.4983788791108,3695.8522464103753
Boston Manor,1824.9962859795728,1849.6165273909007,3674.6128133704738
West Ealing,1935.7998115873763,1711.2534149788037,3647.05322656618
W Silvertown,1828.2745545911375,1698.3321151210598,3526.6066697121973
Northwood Hills,1793.502538071066,1724.5436086755883,3518.0461467466544
Clapham High Street,1762.4222859875658,1729.1310377809662,3491.5533237685318
Ruislip Manor,1733.9194817214252,1750.9463211476168,3484.865802869042
North Harrow,1776.3545706371192,1698.265004616805,3474.6195752539243
Rotherhithe,1802.4776470588235,1634.3764705882354,3436.854117647059
Island Gardens,1933.5366419294992,1427.909090909091,3361.44573283859
Bethnal Green NR,1589.070527790752,1761.3479682391405,3350.4184960298926
Caledonian Road & Barnsbury,1636.7828518173346,1695.823392357875,3332.6062441752097
Hillingdon,1731.2533394748964,1594.8479963150621,3326.1013357899587
South Tottenham,1570.0491412213742,1675.1984732824428,3245.2476145038167
Devons Road,1730.8527663465934,1495.3017832647463,3226.15454961134
Leyton Midland Road,1616.2504789272032,1605.0368773946361,3221.287356321839
Bow Church,1660.7185929648242,1498.964824120603,3159.683417085427
St James Street,1574.7111638954868,1555.8137767220903,3130.524940617577
North Wembley,1602.0347544022243,1521.6765523632994,3123.7113067655237
Beckton,1589.6904096834264,1524.6848230912476,3114.3752327746743
London Fields,1485.698817966903,1627.1479905437352,3112.8468085106383
West Ruislip,1539.7306459001375,1506.2006413192853,3045.9312872194228
West Finchley,1559.3053259871442,1471.378787878788,3030.684113865932
Watford High Street,1507.8095238095239,1476.5480952380951,2984.357619047619
Upper Holloway,1487.0539906103286,1450.5863849765258,2937.6403755868546
Acton Main Line,1505.030131826742,1403.0564971751412,2908.0866290018835
Barkingside,1434.8912844036697,1472.9871559633027,2907.8784403669724
Harringay Green Lanes,1421.9254013220018,1439.8574126534465,2861.7828139754483
West Acton,1444.9278160919541,1414.632183908046,2859.56
Wanstead Park,1412.7881516587677,1426.2767772511847,2839.0649289099524
Prince Regent,1502.3631258773983,1307.9213851193263,2810.2845109967243
Pudding Mill Lane,1450.2723091076357,1359.1347746090157,2809.4070837166514
Stoke Newington,1464.6630486078338,1294.0438886267107,2758.7069372345445
Mill Hill East,1382.7778797613585,1332.5383203304268,2715.316200091785
Mudchute,1422.6509174311927,1179.5770642201835,2602.227981651376
Bruce Grove,1396.4911627906977,1185.5716279069768,2582.0627906976742
Slough,1259.1928767123288,1281.9364383561644,2541.1293150684933
Heathrow T4 TfL Rail/HEx,1281.629476584022,1228.75,2510.379476584022
Carpenders Park,1234.8907363420428,1247.6992874109264,2482.590023752969
Chalfont & Latimer,1234.4488766620816,1176.3833104080697,2410.832187070151
King George V,1279.2150045745655,1128.5329368709972,2407.7479414455624
Gallions Reach,1219.728782287823,1133.0023062730627,2352.7310885608854
Fairlop,1188.2485071198898,1135.7524115755627,2324.0009186954526
Leytonstone High Road,1174.426944971537,1147.889943074004,2322.316888045541
Bush Hill Park,1248.7862846406763,1070.7698449976515,2319.556129638328
Southbury,1091.9981185324552,1188.678269049859,2280.6763875823144
Chesham,1170.7007366482505,1090.005985267035,2260.7067219152855
Brondesbury Park,1133.6607559496033,1118.7335510965936,2252.394307046197
Bushey,1238.3559322033898,1004.6014658726523,2242.957398076042
Royal Albert,1157.3696248856359,1077.5338517840805,2234.9034766697164
Hanwell,1209.4526166902403,1019.0664780763791,2228.5190947666197
Blackwall,1193.1979881115683,1023.0539551897576,2216.251943301326
Rectory Road,1172.2611975483262,1030.1117397454032,2202.3729372937296
Poplar,1119.4481651376148,1066.938990825688,2186.3871559633026
Turkey Street,1123.0056710775048,1045.4593572778829,2168.4650283553874
Star Lane DLR,1119.1203661327231,1045.7734553775745,2164.8938215102976
Cyprus,1100.8172897196262,1057.6261682242991,2158.4434579439253
Barking Riverside,1136.1588785046729,988.0771028037383,2124.2359813084113
Ickenham,1043.2475750577366,1062.192609699769,2105.440184757506
Woodgrange Park,1081.3230621088107,1001.9277804525758,2083.2508425613864
West Harrow,1123.4030541416012,959.686256362795,2083.089310504396
All Saints,1078.8296025582458,970.9634536317953,2049.793056190041
Croxley,1028.112702078522,1017.6374133949191,2045.7501154734412
Ruislip Gardens,1064.696231617647,973.0652573529412,2037.7614889705883
Walthamstow Queens Road,985.0963408985641,1052.0148216767022,2037.1111625752662
Maidenhead,1006.5455145118733,975.3034300791556,1981.848944591029
Anerley,1021.1294063079778,896.9897959183673,1918.1192022263451
Cambridge Heath,936.0217494089834,950.5229314420803,1886.5446808510637
Upminster Bridge,943.0179392824288,927.4199632014719,1870.4379024839006
Crouch Hill,912.2608488316642,911.9031950405341,1824.1640438721984
Theydon Bois,904.152183908046,888.7885057471265,1792.9406896551725
Moor Park,886.7325956662056,887.2337482710926,1773.9663439372982
Kilburn High Road,860.5458801498128,872.9091760299625,1733.4550561797753
West India Quay,866.5821510297483,809.7263157894737,1676.308466819222
South Kenton,868.5357483317446,806.7268827454719,1675.2626310772164
Chorleywood,831.7793103448275,772.6735632183908,1604.4528735632184
Theobalds Grove,818.1254172627563,761.0824988078207,1579.207916070577
Elverson Road,872.3584212941716,676.7810922441487,1549.1395135383204
South Acton,780.5080981027302,732.3868579361407,1512.894956038871
North Ealing,753.9231485794131,720.1797857475548,1474.102934326968
Hatch End,714.2625538020086,721.6102343376375,1435.872788139646
Wandsworth Road,743.5970443349754,677.948275862069,1421.5453201970442
Reading,649.8147945205479,671.5101369863014,1321.3249315068492
Penge West,697.812382739212,621.1749530956848,1318.9873358348968
Stamford Hill,708.2986275437767,605.7733080927591,1314.0719356365357
Stratford High Street,613.3163028332559,694.7422201579192,1308.058522991175
Abbey Road DLR,678.2740229885057,622.7935632183908,1301.0675862068965
Burnham Bucks,562.3007915567282,549.8529023746702,1112.1536939313985
Grange Hill,534.1065686724851,467.38401469912725,1001.4905833716123
Headstone Lane,518.8305568776773,460.0861494526416,978.9167063303189
South Hampstead,487.7339362208472,425.83579247977156,913.5697287006187
Langley Berks,463.75923482849606,446.3799472295515,910.1391820580475
Chigwell,432.4053186611646,371.71435121503896,804.1196698762036
Unknown,0.0,793.6535129932628,793.6535129932628
Beckton Park,381.64328289775335,326.29527739569005,707.9385602934434
Emerson Park,271.0543792107796,182.2820019249278,453.3363811357074
Twyford,241.619708994709,198.43253968253967,440.05224867724866
Roding Valley,234.33087896916706,202.18729866543947,436.51817763460656
Iver,195.06530343007915,177.844327176781,372.90963060686016
Taplow,179.377308707124,162.33245382585753,341.70976253298153
