Route,Score,End,End Exit Volume,Start,End Clean
"['Canary Wharf LU', 'Canada Water', 'Bermondsey', 'London Bridge LU', '[TRANSFER→]Southwark', 'Waterloo LU']",606247.3613725845,Waterloo LU,93112.82099030414,Canary Wharf LU,Waterloo LU
"['Stratford', '[TRANSFER→]Whitechapel', 'Shadwell LO', 'Whitechapel', 'Liverpool Street LU', 'Farringdon']",605518.8630206904,Farringdon,64227.32263564517,Stratford,Farringdon
"[""King's Cross St. Pancras"", '[TRANSFER→]Euston LU', '[TRANSFER→]Warren Street', 'Goodge Street', 'Tottenham Court Road', 'Bond Street']",605360.0607071193,Bond Street,65259.91811015903,King's Cross St. Pancras,Bond Street
"['Piccadilly Circus', '[TRANSFER→]Leicester Square', '[TRANSFER→]Tottenham Court Road', 'Goodge Street', 'Tottenham Court Road', 'Bond Street']",605360.0607071193,Bond Street,65259.91811015903,Piccadilly Circus,Bond Street
"['Tottenham Court Road', '[TRANSFER→]Holborn', 'Chancery Lane', ""St. Paul's"", 'Bank and Monument', 'Liverpool Street LU']",605107.3157619885,Liverpool Street LU,74058.98826547644,Tottenham Court Road,Liverpool Street LU
"['Tottenham Court Road', '[TRANSFER→]Holborn', 'Chancery Lane', ""St. Paul's"", 'Bank and Monument', 'London Bridge LU']",602127.7582231635,London Bridge LU,79888.75974908941,Tottenham Court Road,London Bridge LU
"['Euston LU', 'Warren Street', '[TRANSFER→]Oxford Circus', '[TRANSFER→]Green Park', 'Victoria LU', 'Green Park']",600974.7446647057,Green Park,50979.93327935799,Euston LU,Green Park
"['Bank and Monument', ""St. Paul's"", 'Chancery Lane', 'Holborn', 'Russell Square', ""King's Cross St. Pancras""]",600904.9446041692,King's Cross St. Pancras,122827.76544140621,Bank and Monument,King's Cross St. Pancras
"['Waterloo LU', 'Southwark', 'London Bridge LU', '[TRANSFER→]Bank and Monument', ""St. Paul's"", 'Bank and Monument']",600468.1466422892,Bank and Monument,54480.33995698597,Waterloo LU,Bank and Monument
"['Tottenham Court Road', '[TRANSFER→]Holborn', 'Chancery Lane', ""St. Paul's"", 'Bank and Monument', 'Waterloo LU']",600259.0519729825,Waterloo LU,93112.82099030414,Tottenham Court Road,Waterloo LU
"[""King's Cross St. Pancras"", 'Russell Square', 'Holborn', '[TRANSFER→]Tottenham Court Road', 'Bond Street', 'Paddington TfL']",599959.2767559229,Paddington TfL,81178.24734898907,King's Cross St. Pancras,Paddington TfL
"['Piccadilly Circus', '[TRANSFER→]Charing Cross LU', 'Embankment', '[TRANSFER→]Westminster', 'Green Park', 'Bond Street']",599320.6936994824,Bond Street,65259.91811015903,Piccadilly Circus,Bond Street
