Route,Score,End,End Exit Volume,Start,End Clean
"['Leicester Square', 'Tottenham Court Road', 'Oxford Circus', 'Bond Street', 'Green Park', 'Victoria LU']",1553579.455252202,Victoria LU,86723.86782461665,Leicester Square,Victoria LU
"['Farringdon', 'Tottenham Court Road', 'Oxford Circus', 'Warren Street', 'Euston LU', ""King's Cross St. Pancras""]",1483416.497560095,King's Cross St. Pancras,122827.76544140621,Farringdon,King's Cross St. Pancras
"['Leicester Square', 'Tottenham Court Road', 'Oxford Circus', 'Warren Street', 'Euston LU', ""King's Cross St. Pancras""]",1483416.497560095,King's Cross St. Pancras,122827.76544140621,Leicester Square,King's Cross St. Pancras
"['Bond Street', 'Oxford Circus', 'Tottenham Court Road', 'Farringdon', 'Liverpool Street LU', 'Bank and Monument']",1482658.2721876581,Bank and Monument,54480.33995698597,Bond Street,Bank and Monument
"['Victoria LU', 'Green Park', 'Oxford Circus', 'Tottenham Court Road', 'Bond Street', 'Paddington TfL']",1453983.8827124569,Paddington TfL,81178.24734898907,Victoria LU,Paddington TfL
"['Farringdon', 'Tottenham Court Road', 'Oxford Circus', '[TRANSFER→]Warren Street', 'Euston LU', ""King's Cross St. Pancras""]",1429866.489961483,King's Cross St. Pancras,122827.76544140621,Farringdon,King's Cross St. Pancras
"['Bond Street', 'Green Park', 'Oxford Circus', 'Tottenham Court Road', 'Farringdon', 'Liverpool Street LU']",1396390.0444994003,Liverpool Street LU,74058.98826547644,Bond Street,Liverpool Street LU
"['Victoria LU', 'Green Park', 'Oxford Circus', 'Tottenham Court Road', 'Farringdon', 'Liverpool Street LU']",1396390.0444994003,Liverpool Street LU,74058.98826547644,Victoria LU,Liverpool Street LU
"['Piccadilly Circus', 'Green Park', 'Oxford Circus', 'Tottenham Court Road', 'Farringdon', 'Liverpool Street LU']",1396390.0444994003,Liverpool Street LU,74058.98826547644,Piccadilly Circus,Liverpool Street LU
"['Paddington TfL', 'Bond Street', 'Tottenham Court Road', 'Farringdon', ""King's Cross St. Pancras"", 'Euston LU']",1395853.6887153145,Euston LU,51663.66156684396,Paddington TfL,Euston LU
"['Liverpool Street LU', 'Farringdon', 'Tottenham Court Road', 'Bond Street', 'Oxford Circus', 'Green Park']",1394701.5541647866,Green Park,50979.93327935799,Liverpool Street LU,Green Park
"['Bank and Monument', 'Liverpool Street LU', 'Farringdon', 'Tottenham Court Road', 'Bond Street', 'Oxford Circus']",1391344.4449427905,Oxford Circus,88888.96704187145,Bank and Monument,Oxford Circus
"['Piccadilly Circus', 'Leicester Square', 'Tottenham Court Road', 'Bond Street', 'Oxford Circus', 'Green Park']",1391158.4810808983,Green Park,50979.93327935799,Piccadilly Circus,Green Park
"['Oxford Circus', 'Tottenham Court Road', 'Farringdon', 'Liverpool Street LU', 'Whitechapel', 'Stratford']",1383146.7068421694,Stratford,92594.97009758174,Oxford Circus,Stratford
"['Waterloo LU', 'Westminster', 'Green Park', 'Oxford Circus', 'Tottenham Court Road', 'Bond Street']",1374370.3698613045,Bond Street,65259.91811015903,Waterloo LU,Bond Street
"['Waterloo LU', 'Westminster', 'Green Park', 'Bond Street', 'Oxford Circus', 'Tottenham Court Road']",1374370.3698613043,Tottenham Court Road,101119.98339478439,Waterloo LU,Tottenham Court Road
"['Waterloo LU', 'Westminster', 'Green Park', 'Bond Street', 'Tottenham Court Road', 'Oxford Circus']",1374370.3698613043,Oxford Circus,88888.96704187145,Waterloo LU,Oxford Circus
"[""King's Cross St. Pancras"", 'Farringdon', 'Tottenham Court Road', 'Oxford Circus', 'Bond Street', 'Paddington TfL']",1371458.1421147347,Paddington TfL,81178.24734898907,King's Cross St. Pancras,Paddington TfL
"['Farringdon', 'Tottenham Court Road', 'Oxford Circus', 'Green Park', 'Westminster', 'Waterloo LU']",1371210.5964069124,Waterloo LU,93112.82099030414,Farringdon,Waterloo LU
"['Stratford', 'Whitechapel', 'Liverpool Street LU', 'Farringdon', 'Tottenham Court Road', 'Oxford Circus']",1369965.297110674,Oxford Circus,88888.96704187145,Stratford,Oxford Circus
"['Oxford Circus', 'Green Park', 'Bond Street', 'Tottenham Court Road', 'Farringdon', ""King's Cross St. Pancras""]",1369793.1285952083,King's Cross St. Pancras,122827.76544140621,Oxford Circus,King's Cross St. Pancras
"['South Kensington', 'Sloane Square', 'Victoria LU', 'Green Park', 'Oxford Circus', 'Tottenham Court Road']",1368616.349168532,Tottenham Court Road,101119.98339478439,South Kensington,Tottenham Court Road
"['Piccadilly Circus', 'Leicester Square', 'Tottenham Court Road', 'Oxford Circus', 'Bond Street', 'Paddington TfL']",1367915.069030847,Paddington TfL,81178.24734898907,Piccadilly Circus,Paddington TfL
"['Bond Street', 'Green Park', 'Oxford Circus', 'Warren Street', 'Euston LU', ""King's Cross St. Pancras""]",1360802.7940620133,King's Cross St. Pancras,122827.76544140621,Bond Street,King's Cross St. Pancras
"['Piccadilly Circus', 'Green Park', 'Oxford Circus', 'Warren Street', 'Euston LU', ""King's Cross St. Pancras""]",1360802.7940620133,King's Cross St. Pancras,122827.76544140621,Piccadilly Circus,King's Cross St. Pancras
"['Victoria LU', 'Green Park', 'Oxford Circus', 'Warren Street', 'Euston LU', ""King's Cross St. Pancras""]",1360802.7940620133,King's Cross St. Pancras,122827.76544140621,Victoria LU,King's Cross St. Pancras
"['Farringdon', ""King's Cross St. Pancras"", 'Euston LU', 'Warren Street', 'Oxford Circus', 'Green Park']",1360802.794062013,Green Park,50979.93327935799,Farringdon,Green Park
"['Farringdon', 'Tottenham Court Road', 'Bond Street', 'Oxford Circus', 'Green Park', 'Piccadilly Circus']",1359706.9975980085,Piccadilly Circus,43397.76087515598,Farringdon,Piccadilly Circus
"['Farringdon', 'Tottenham Court Road', 'Bond Street', 'Oxford Circus', 'Piccadilly Circus', 'Green Park']",1359706.9975980085,Green Park,50979.93327935799,Farringdon,Green Park
"['Tottenham Court Road', 'Bond Street', 'Oxford Circus', 'Warren Street', 'Euston LU', ""King's Cross St. Pancras""]",1355757.1945054028,King's Cross St. Pancras,122827.76544140621,Tottenham Court Road,King's Cross St. Pancras
"['Green Park', 'Bond Street', 'Oxford Circus', 'Warren Street', 'Euston LU', ""King's Cross St. Pancras""]",1355757.1945054028,King's Cross St. Pancras,122827.76544140621,Green Park,King's Cross St. Pancras
"['Green Park', 'Piccadilly Circus', 'Oxford Circus', 'Tottenham Court Road', 'Bond Street', 'Paddington TfL']",1336463.5855479569,Paddington TfL,81178.24734898907,Green Park,Paddington TfL
"['Tottenham Court Road', 'Oxford Circus', 'Green Park', 'Westminster', 'Waterloo LU', 'Bank and Monument']",1334865.1205970882,Bank and Monument,54480.33995698597,Tottenham Court Road,Bank and Monument
"['Euston LU', ""King's Cross St. Pancras"", 'Farringdon', 'Liverpool Street LU', 'Bank and Monument', 'London Bridge LU']",1328799.476359177,London Bridge LU,79888.75974908941,Euston LU,London Bridge LU
"['Euston LU', ""King's Cross St. Pancras"", 'Russell Square', 'Holborn', 'Tottenham Court Road', 'Oxford Circus']",1325445.353339361,Oxford Circus,88888.96704187145,Euston LU,Oxford Circus
"['Bond Street', '[TRANSFER→]Oxford Circus', 'Tottenham Court Road', 'Oxford Circus', 'Green Park', 'Victoria LU']",1323088.766520612,Victoria LU,86723.86782461665,Bond Street,Victoria LU
"[""King's Cross St. Pancras"", 'Euston LU', 'Warren Street', 'Oxford Circus', 'Bond Street', 'Tottenham Court Road']",1321301.574193027,Tottenham Court Road,101119.98339478439,King's Cross St. Pancras,Tottenham Court Road
"[""King's Cross St. Pancras"", 'Euston LU', 'Warren Street', 'Oxford Circus', 'Tottenham Court Road', 'Bond Street']",1321301.574193027,Bond Street,65259.91811015903,King's Cross St. Pancras,Bond Street
"['Green Park', 'Oxford Circus', 'Tottenham Court Road', 'Farringdon', ""King's Cross St. Pancras"", '[TRANSFER→]Euston Square']",1321280.1892436543,King's Cross St. Pancras,122827.76544140621,Green Park,King's Cross St. Pancras
"['Piccadilly Circus', 'Green Park', 'Oxford Circus', '[TRANSFER→]Warren Street', 'Euston LU', ""King's Cross St. Pancras""]",1307252.7864634008,King's Cross St. Pancras,122827.76544140621,Piccadilly Circus,King's Cross St. Pancras
"['London Bridge LU', 'Bank and Monument', 'Liverpool Street LU', 'Farringdon', 'Tottenham Court Road', 'Bond Street']",1295634.923251012,Bond Street,65259.91811015903,London Bridge LU,Bond Street
"['Leicester Square', 'Tottenham Court Road', 'Farringdon', 'Liverpool Street LU', 'Bank and Monument', 'London Bridge LU']",1294343.856046801,London Bridge LU,79888.75974908941,Leicester Square,London Bridge LU
"['Victoria LU', 'Green Park', 'Oxford Circus', 'Piccadilly Circus', 'Leicester Square', 'Tottenham Court Road']",1278683.7834730085,Tottenham Court Road,101119.98339478439,Victoria LU,Tottenham Court Road
"['Victoria LU', 'Green Park', 'Piccadilly Circus', 'Leicester Square', 'Tottenham Court Road', 'Oxford Circus']",1278683.7834730083,Oxford Circus,88888.96704187145,Victoria LU,Oxford Circus
"['Farringdon', 'Tottenham Court Road', 'Leicester Square', 'Piccadilly Circus', 'Green Park', 'Oxford Circus']",1278683.7834730083,Oxford Circus,88888.96704187145,Farringdon,Oxford Circus
"['Tottenham Court Road', 'Farringdon', ""King's Cross St. Pancras"", 'Euston LU', 'Warren Street', 'Oxford Circus']",1278277.0534642912,Oxford Circus,88888.96704187145,Tottenham Court Road,Oxford Circus
"['Green Park', 'Oxford Circus', 'Warren Street', 'Euston LU', ""King's Cross St. Pancras"", 'Farringdon']",1278277.053464291,Farringdon,64227.32263564517,Green Park,Farringdon
"['Bond Street', 'Oxford Circus', 'Warren Street', 'Euston LU', ""King's Cross St. Pancras"", 'Farringdon']",1278277.053464291,Farringdon,64227.32263564517,Bond Street,Farringdon
"['Farringdon', 'Tottenham Court Road', 'Bond Street', 'Oxford Circus', 'Piccadilly Circus', 'Leicester Square']",1273638.1839163983,Leicester Square,45573.94756963399,Farringdon,Leicester Square
"['Green Park', 'Bond Street', 'Oxford Circus', 'Piccadilly Circus', 'Leicester Square', 'Tottenham Court Road']",1273638.1839163983,Tottenham Court Road,101119.98339478439,Green Park,Tottenham Court Road
"['Paddington TfL', 'Bond Street', 'Tottenham Court Road', 'Oxford Circus', '[TRANSFER→]Warren Street', 'Euston LU']",1267751.5665944149,Euston LU,51663.66156684396,Paddington TfL,Euston LU
"[""King's Cross St. Pancras"", 'Euston LU', 'Warren Street', 'Oxford Circus', 'Tottenham Court Road', 'Farringdon']",1243821.433151915,Farringdon,64227.32263564517,King's Cross St. Pancras,Farringdon
"['Paddington TfL', 'Bond Street', 'Oxford Circus', 'Green Park', 'Westminster', 'Waterloo LU']",1243551.2933522204,Waterloo LU,93112.82099030414,Paddington TfL,Waterloo LU
"['Victoria LU', '[TRANSFER→]Green Park', 'Bond Street', 'Green Park', 'Oxford Circus', 'Tottenham Court Road']",1241691.0064743084,Tottenham Court Road,101119.98339478439,Victoria LU,Tottenham Court Road
"['Piccadilly Circus', 'Green Park', '[TRANSFER→]Bond Street', 'Oxford Circus', 'Bond Street', 'Tottenham Court Road']",1241691.0064743084,Tottenham Court Road,101119.98339478439,Piccadilly Circus,Tottenham Court Road
"['Farringdon', 'Tottenham Court Road', '[TRANSFER→]Oxford Circus', 'Bond Street', 'Green Park', 'Oxford Circus']",1241691.0064743084,Oxford Circus,88888.96704187145,Farringdon,Oxford Circus
"[""King's Cross St. Pancras"", '[TRANSFER→]Farringdon', 'Tottenham Court Road', 'Oxford Circus', 'Bond Street', 'Green Park']",1241691.0064743084,Green Park,50979.93327935799,King's Cross St. Pancras,Green Park
"['Leicester Square', 'Tottenham Court Road', '[TRANSFER→]Bond Street', 'Green Park', 'Oxford Circus', 'Bond Street']",1241691.0064743084,Bond Street,65259.91811015903,Leicester Square,Bond Street
"['Piccadilly Circus', '[TRANSFER→]Green Park', 'Oxford Circus', 'Tottenham Court Road', 'Bond Street', 'Green Park']",1241691.0064743084,Green Park,50979.93327935799,Piccadilly Circus,Green Park
"['Leicester Square', '[TRANSFER→]Piccadilly Circus', 'Green Park', 'Bond Street', 'Oxford Circus', 'Tottenham Court Road']",1241691.0064743084,Tottenham Court Road,101119.98339478439,Leicester Square,Tottenham Court Road
"['Farringdon', 'Tottenham Court Road', 'Bond Street', 'Green Park', 'Oxford Circus', '[TRANSFER→]Warren Street']",1241691.0064743084,Oxford Circus,88888.96704187145,Farringdon,Oxford Circus
"['Leicester Square', 'Tottenham Court Road', 'Oxford Circus', 'Green Park', 'Bond Street', '[TRANSFER→]Baker Street']",1241691.0064743084,Bond Street,65259.91811015903,Leicester Square,Bond Street
"['Victoria LU', '[TRANSFER→]Green Park', 'Oxford Circus', 'Tottenham Court Road', 'Bond Street', 'Green Park']",1241691.0064743084,Green Park,50979.93327935799,Victoria LU,Green Park
"['Piccadilly Circus', 'Green Park', 'Oxford Circus', 'Tottenham Court Road', 'Bond Street', '[TRANSFER→]Baker Street']",1241691.0064743084,Bond Street,65259.91811015903,Piccadilly Circus,Bond Street
"['Waterloo LU', '[TRANSFER→]Westminster', 'Green Park', 'Bond Street', 'Tottenham Court Road', 'Oxford Circus']",1241691.0064743084,Oxford Circus,88888.96704187145,Waterloo LU,Oxford Circus
"['Farringdon', 'Tottenham Court Road', 'Bond Street', '[TRANSFER→]Oxford Circus', 'Green Park', 'Oxford Circus']",1241691.0064743084,Oxford Circus,88888.96704187145,Farringdon,Oxford Circus
"['Leicester Square', '[TRANSFER→]Tottenham Court Road', 'Bond Street', 'Green Park', 'Oxford Circus', 'Tottenham Court Road']",1241691.0064743084,Tottenham Court Road,101119.98339478439,Leicester Square,Tottenham Court Road
"['Piccadilly Circus', '[TRANSFER→]Leicester Square', 'Tottenham Court Road', 'Bond Street', 'Green Park', 'Oxford Circus']",1241691.0064743084,Oxford Circus,88888.96704187145,Piccadilly Circus,Oxford Circus
"['Waterloo LU', '[TRANSFER→]Westminster', 'Green Park', 'Oxford Circus', 'Bond Street', 'Tottenham Court Road']",1241691.0064743084,Tottenham Court Road,101119.98339478439,Waterloo LU,Tottenham Court Road
"['South Kensington', 'Sloane Square', 'Victoria LU', 'Green Park', 'Oxford Circus', 'Bond Street']",1240957.04611384,Bond Street,65259.91811015903,South Kensington,Bond Street
"['South Kensington', 'Sloane Square', 'Victoria LU', 'Green Park', 'Bond Street', 'Oxford Circus']",1240957.0461138398,Oxford Circus,88888.96704187145,South Kensington,Oxford Circus
"['Tottenham Court Road', 'Leicester Square', 'Piccadilly Circus', 'Oxford Circus', 'Green Park', 'Victoria LU']",1232422.24046462,Victoria LU,86723.86782461665,Tottenham Court Road,Victoria LU
"['Farringdon', 'Tottenham Court Road', 'Oxford Circus', 'Warren Street', '[TRANSFER→]Euston LU', ""King's Cross St. Pancras""]",1221819.6491517886,King's Cross St. Pancras,122827.76544140621,Farringdon,King's Cross St. Pancras
"['Leicester Square', 'Tottenham Court Road', 'Oxford Circus', 'Warren Street', '[TRANSFER→]Euston LU', ""King's Cross St. Pancras""]",1221819.6491517886,King's Cross St. Pancras,122827.76544140621,Leicester Square,King's Cross St. Pancras
"['Leicester Square', 'Tottenham Court Road', '[TRANSFER→]Bond Street', 'Oxford Circus', 'Bond Street', 'Paddington TfL']",1218447.5944242568,Paddington TfL,81178.24734898907,Leicester Square,Paddington TfL
"['Green Park', 'Oxford Circus', '[TRANSFER→]Bond Street', 'Paddington TfL', 'Bond Street', 'Tottenham Court Road']",1218447.5944242568,Tottenham Court Road,101119.98339478439,Green Park,Tottenham Court Road
"['Victoria LU', '[TRANSFER→]Green Park', 'Oxford Circus', 'Tottenham Court Road', 'Bond Street', 'Paddington TfL']",1218447.5944242568,Paddington TfL,81178.24734898907,Victoria LU,Paddington TfL
"[""King's Cross St. Pancras"", '[TRANSFER→]Farringdon', 'Tottenham Court Road', 'Oxford Circus', 'Bond Street', 'Paddington TfL']",1218447.5944242568,Paddington TfL,81178.24734898907,King's Cross St. Pancras,Paddington TfL
"['Euston LU', 'Warren Street', 'Oxford Circus', 'Tottenham Court Road', 'Farringdon', 'Liverpool Street LU']",1214403.7638098125,Liverpool Street LU,74058.98826547644,Euston LU,Liverpool Street LU
"['Leicester Square', 'Piccadilly Circus', 'Green Park', 'Oxford Circus', 'Bond Street', 'Paddington TfL']",1213849.8820498749,Paddington TfL,81178.24734898907,Leicester Square,Paddington TfL
"['Oxford Circus', 'Green Park', 'Bond Street', 'Tottenham Court Road', 'Farringdon', 'Liverpool Street LU']",1209366.695562754,Liverpool Street LU,74058.98826547644,Oxford Circus,Liverpool Street LU
"['Victoria LU', 'Green Park', 'Bond Street', 'Tottenham Court Road', 'Farringdon', 'Liverpool Street LU']",1209366.695562754,Liverpool Street LU,74058.98826547644,Victoria LU,Liverpool Street LU
"['Green Park', 'Oxford Circus', ""Regent's Park"", 'Baker Street', 'Bond Street', 'Tottenham Court Road']",1204868.2955067446,Tottenham Court Road,101119.98339478439,Green Park,Tottenham Court Road
"['Paddington TfL', 'Bond Street', '[TRANSFER→]Green Park', 'Victoria LU', 'Green Park', 'Oxford Circus']",1195429.4634659202,Oxford Circus,88888.96704187145,Paddington TfL,Oxford Circus
"['Tottenham Court Road', 'Bond Street', 'Oxford Circus', '[TRANSFER→]Piccadilly Circus', 'Green Park', 'Victoria LU']",1195429.46346592,Victoria LU,86723.86782461665,Tottenham Court Road,Victoria LU
"['London Bridge LU', 'Bank and Monument', 'Liverpool Street LU', 'Whitechapel', 'Stratford', '[TRANSFER→]West Ham']",1193790.6833418675,Stratford,92594.97009758174,London Bridge LU,Stratford
"['Liverpool Street LU', 'Farringdon', 'Tottenham Court Road', 'Oxford Circus', '[TRANSFER→]Warren Street', 'Euston LU']",1190271.4255533027,Euston LU,51663.66156684396,Liverpool Street LU,Euston LU
"['Green Park', 'Oxford Circus', 'Tottenham Court Road', 'Farringdon', ""[TRANSFER→]King's Cross St. Pancras"", 'Euston LU']",1190271.4255533027,Euston LU,51663.66156684396,Green Park,Euston LU
"[""King's Cross St. Pancras"", 'Euston LU', '[TRANSFER→]Warren Street', 'Oxford Circus', 'Tottenham Court Road', 'Leicester Square']",1186728.352469415,Leicester Square,45573.94756963399,King's Cross St. Pancras,Leicester Square
"['South Kensington', 'Sloane Square', 'Victoria LU', 'Green Park', 'Bond Street', 'Tottenham Court Road']",1181593.0002318856,Tottenham Court Road,101119.98339478439,South Kensington,Tottenham Court Road
"['London Bridge LU', 'Bank and Monument', 'Liverpool Street LU', 'Bethnal Green LU', 'Mile End', 'Stratford']",1178048.819647592,Stratford,92594.97009758174,London Bridge LU,Stratford
"[""King's Cross St. Pancras"", 'Euston LU', 'Warren Street', 'Oxford Circus', 'Bond Street', 'Paddington TfL']",1175444.4586448935,Paddington TfL,81178.24734898907,King's Cross St. Pancras,Paddington TfL
"['Victoria LU', ""St. James's Park"", 'Westminster', 'Green Park', 'Oxford Circus', 'Tottenham Court Road']",1175427.7121272944,Tottenham Court Road,101119.98339478439,Victoria LU,Tottenham Court Road
"['Bond Street', 'Tottenham Court Road', 'Holborn', 'Russell Square', ""King's Cross St. Pancras"", 'Euston LU']",1169528.1640794312,Euston LU,51663.66156684396,Bond Street,Euston LU
"['Leicester Square', 'Tottenham Court Road', 'Holborn', 'Russell Square', ""King's Cross St. Pancras"", 'Euston LU']",1169528.1640794312,Euston LU,51663.66156684396,Leicester Square,Euston LU
"['Farringdon', 'Tottenham Court Road', 'Holborn', 'Russell Square', ""King's Cross St. Pancras"", 'Euston LU']",1169528.1640794312,Euston LU,51663.66156684396,Farringdon,Euston LU
"['Piccadilly Circus', 'Oxford Circus', 'Tottenham Court Road', '[TRANSFER→]Farringdon', ""King's Cross St. Pancras"", '[TRANSFER→]Farringdon']",1168269.6415531766,King's Cross St. Pancras,122827.76544140621,Piccadilly Circus,King's Cross St. Pancras
"['Victoria LU', 'Green Park', '[TRANSFER→]Piccadilly Circus', 'Oxford Circus', 'Tottenham Court Road', 'Farringdon']",1164210.8654331963,Farringdon,64227.32263564517,Victoria LU,Farringdon
"['Bond Street', 'Green Park', 'Oxford Circus', 'Tottenham Court Road', 'Farringdon', '[TRANSFER→]Liverpool Street LU']",1164210.8654331963,Farringdon,64227.32263564517,Bond Street,Farringdon
"['Victoria LU', 'Green Park', 'Oxford Circus', 'Tottenham Court Road', 'Farringdon', '[TRANSFER→]Liverpool Street LU']",1164210.8654331963,Farringdon,64227.32263564517,Victoria LU,Farringdon
"['Bond Street', 'Baker Street', ""Regent's Park"", 'Oxford Circus', 'Green Park', 'Victoria LU']",1163652.3520549661,Victoria LU,86723.86782461665,Bond Street,Victoria LU
"['London Bridge LU', '[TRANSFER→]Bank and Monument', 'Liverpool Street LU', 'Farringdon', 'Tottenham Court Road', 'Oxford Circus']",1160853.7562112003,Oxford Circus,88888.96704187145,London Bridge LU,Oxford Circus
"['Piccadilly Circus', '[TRANSFER→]Charing Cross LU', 'Leicester Square', 'Tottenham Court Road', 'Oxford Circus', 'Green Park']",1160667.7923493085,Green Park,50979.93327935799,Piccadilly Circus,Green Park
"['London Bridge LU', 'Bank and Monument', 'Moorgate', 'Liverpool Street LU', 'Farringdon', 'Tottenham Court Road']",1160561.862942212,Tottenham Court Road,101119.98339478439,London Bridge LU,Tottenham Court Road
"['Paddington TfL', 'Bond Street', '[TRANSFER→]Green Park', 'Oxford Circus', 'Tottenham Court Road', 'Farringdon']",1159165.2658765863,Farringdon,64227.32263564517,Paddington TfL,Farringdon
"['Leicester Square', '[TRANSFER→]Tottenham Court Road', 'Farringdon', 'Tottenham Court Road', 'Oxford Circus', 'Bond Street']",1159165.2658765863,Bond Street,65259.91811015903,Leicester Square,Bond Street
"['Paddington TfL', 'Bond Street', 'Oxford Circus', '[TRANSFER→]Piccadilly Circus', 'Leicester Square', 'Tottenham Court Road']",1155622.1927926983,Tottenham Court Road,101119.98339478439,Paddington TfL,Tottenham Court Road
"['Tottenham Court Road', 'Bond Street', 'Oxford Circus', 'Green Park', 'Piccadilly Circus', 'Leicester Square']",1151024.4804183166,Leicester Square,45573.94756963399,Tottenham Court Road,Leicester Square
"['Victoria LU', 'Green Park', 'Bond Street', 'Oxford Circus', '[TRANSFER→]Warren Street', 'Euston LU']",1145137.8630963329,Euston LU,51663.66156684396,Victoria LU,Euston LU
"['Bond Street', 'Tottenham Court Road', '[TRANSFER→]Farringdon', 'Liverpool Street LU', 'Bank and Monument', 'London Bridge LU']",1141333.308356323,London Bridge LU,79888.75974908941,Bond Street,London Bridge LU
"['Oxford Circus', 'Tottenham Court Road', '[TRANSFER→]Farringdon', 'Liverpool Street LU', 'Bank and Monument', 'London Bridge LU']",1141333.308356323,London Bridge LU,79888.75974908941,Oxford Circus,London Bridge LU
"['Bond Street', '[TRANSFER→]Tottenham Court Road', 'Holborn', 'Tottenham Court Road', 'Oxford Circus', 'Green Park']",1140587.951250097,Green Park,50979.93327935799,Bond Street,Green Park
"['Oxford Circus', 'Bond Street', 'Tottenham Court Road', 'Holborn', 'Russell Square', ""King's Cross St. Pancras""]",1138422.0044027148,King's Cross St. Pancras,122827.76544140621,Oxford Circus,King's Cross St. Pancras
"['Euston LU', ""King's Cross St. Pancras"", 'Russell Square', 'Holborn', 'Tottenham Court Road', 'Bond Street']",1138422.0044027148,Bond Street,65259.91811015903,Euston LU,Bond Street
"['Paddington TfL', 'Bond Street', 'Tottenham Court Road', 'Holborn', 'Russell Square', ""King's Cross St. Pancras""]",1138422.0044027148,King's Cross St. Pancras,122827.76544140621,Paddington TfL,King's Cross St. Pancras
"['Bank and Monument', 'Liverpool Street LU', '[TRANSFER→]Farringdon', 'Tottenham Court Road', 'Farringdon', ""King's Cross St. Pancras""]",1135945.3306416222,King's Cross St. Pancras,122827.76544140621,Bank and Monument,King's Cross St. Pancras
"['Bond Street', 'Tottenham Court Road', '[TRANSFER→]Farringdon', 'Liverpool Street LU', 'Farringdon', ""King's Cross St. Pancras""]",1135945.3306416222,King's Cross St. Pancras,122827.76544140621,Bond Street,King's Cross St. Pancras
"['Bank and Monument', 'Moorgate', 'Liverpool Street LU', 'Farringdon', ""King's Cross St. Pancras"", 'Euston LU']",1134809.8156864366,Euston LU,51663.66156684396,Bank and Monument,Euston LU
"['Paddington TfL', 'Bond Street', 'Tottenham Court Road', 'Farringdon', ""King's Cross St. Pancras"", '[TRANSFER→]Euston Square']",1134256.840307008,King's Cross St. Pancras,122827.76544140621,Paddington TfL,King's Cross St. Pancras
"['Leicester Square', '[TRANSFER→]Piccadilly Circus', 'Green Park', 'Piccadilly Circus', 'Oxford Circus', 'Tottenham Court Road']",1129216.3088664184,Tottenham Court Road,101119.98339478439,Leicester Square,Tottenham Court Road
"['Leicester Square', 'Tottenham Court Road', '[TRANSFER→]Oxford Circus', 'Piccadilly Circus', 'Oxford Circus', 'Green Park']",1129216.3088664184,Green Park,50979.93327935799,Leicester Square,Green Park
"['Victoria LU', 'Green Park', 'Piccadilly Circus', '[TRANSFER→]Oxford Circus', 'Tottenham Court Road', 'Oxford Circus']",1129216.3088664184,Oxford Circus,88888.96704187145,Victoria LU,Oxford Circus
"['Farringdon', 'Tottenham Court Road', 'Oxford Circus', 'Piccadilly Circus', 'Green Park', '[TRANSFER→]Bond Street']",1129216.3088664184,Green Park,50979.93327935799,Farringdon,Green Park
"['Leicester Square', '[TRANSFER→]Charing Cross LU', 'Piccadilly Circus', 'Green Park', 'Oxford Circus', 'Tottenham Court Road']",1129216.3088664184,Tottenham Court Road,101119.98339478439,Leicester Square,Tottenham Court Road
"['Victoria LU', '[TRANSFER→]Green Park', 'Piccadilly Circus', 'Green Park', 'Oxford Circus', 'Tottenham Court Road']",1129216.3088664184,Tottenham Court Road,101119.98339478439,Victoria LU,Tottenham Court Road
"['Farringdon', 'Tottenham Court Road', 'Oxford Circus', 'Green Park', 'Piccadilly Circus', '[TRANSFER→]Leicester Square']",1129216.3088664184,Piccadilly Circus,43397.76087515598,Farringdon,Piccadilly Circus
"['Waterloo LU', 'Westminster', ""St. James's Park"", 'Victoria LU', 'Green Park', 'Oxford Circus']",1129166.169118906,Oxford Circus,88888.96704187145,Waterloo LU,Oxford Circus
"['Bond Street', 'Oxford Circus', 'Green Park', 'Westminster', ""St. James's Park"", 'Victoria LU']",1129166.169118906,Victoria LU,86723.86782461665,Bond Street,Victoria LU
"['South Kensington', 'Sloane Square', 'Victoria LU', 'Green Park', 'Piccadilly Circus', 'Oxford Circus']",1128482.34850595,Oxford Circus,88888.96704187145,South Kensington,Oxford Circus
"['North Greenwich', 'Canning Town', 'West Ham', 'Stratford', 'Whitechapel', 'Liverpool Street LU']",1126884.229713156,Liverpool Street LU,74058.98826547644,North Greenwich,Liverpool Street LU
"['Victoria LU', '[TRANSFER→]Green Park', 'Oxford Circus', 'Warren Street', 'Euston LU', ""King's Cross St. Pancras""]",1125266.505773813,King's Cross St. Pancras,122827.76544140621,Victoria LU,King's Cross St. Pancras
"['Tottenham Court Road', 'Oxford Circus', 'Warren Street', 'Euston LU', ""King's Cross St. Pancras"", '[TRANSFER→]Farringdon']",1125266.505773813,King's Cross St. Pancras,122827.76544140621,Tottenham Court Road,King's Cross St. Pancras
"['Tottenham Court Road', 'Oxford Circus', 'Warren Street', 'Euston LU', ""King's Cross St. Pancras"", '[TRANSFER→]Highbury & Islington']",1125266.505773813,King's Cross St. Pancras,122827.76544140621,Tottenham Court Road,King's Cross St. Pancras
"['Bond Street', 'Oxford Circus', 'Warren Street', 'Euston LU', ""King's Cross St. Pancras"", '[TRANSFER→]Euston Square']",1125266.505773813,King's Cross St. Pancras,122827.76544140621,Bond Street,King's Cross St. Pancras
