Start_Station,End_Station,Frequency,collection_time,start_matched,end_matched,regular_total_time_min,regular_walking_time_min,regular_transfers,regular_distance_km,accessibility_total_time_min,accessibility_walking_time_min,accessibility_transfers,accessibility_distance_km
Tottenham Court Road,King's Cross St. Pancras,33,2025-07-28 23:57:40,True,True,18.35,6.833333333333333,0.0,2.985,18.35,6.833333333333333,0.0,2.985
East Putney,Wimbledon,33,2025-07-28 23:57:40,True,True,10.933333333333334,6.9,0.0,4.957,10.933333333333334,6.9,0.0,4.957
Finchley Central,Kentish Town,32,2025-07-28 23:57:41,True,True,13.566666666666666,4.566666666666666,0.0,7.75,13.566666666666666,4.566666666666666,0.0,7.75
Shenfield,Chadwell Heath,32,2025-07-28 23:57:42,True,True,186.8,39.35,3.0,104.448,186.8,39.35,3.0,104.448
Southfields,West Brompton,32,2025-07-28 23:57:42,True,True,62.516666666666666,6.766666666666667,1.0,18.586,62.516666666666666,6.766666666666667,1.0,18.586
Archway,Woodside Park,32,2025-07-28 23:57:43,True,True,12.333333333333334,3.183333333333333,0.0,8.041,12.333333333333334,3.183333333333333,0.0,8.041
Paddington TfL,Wood Lane,32,2025-07-28 23:57:44,True,True,67.6,9.983333333333333,1.0,31.939,67.6,9.983333333333333,1.0,31.939
North Acton,South Ruislip,31,2025-07-28 23:57:44,True,True,30.05,17.133333333333333,0.0,11.564,30.05,17.133333333333333,0.0,11.564
Shepherd's Bush Market,Royal Oak,31,2025-07-28 23:57:45,True,True,92.73333333333333,7.366666666666666,2.0,39.131,92.73333333333333,7.366666666666666,2.0,39.131
Tooting Bec,Morden,31,2025-07-28 23:57:46,True,True,29.7,12.383333333333333,0.0,6.764,29.7,12.383333333333333,0.0,6.764
Paddington TfL,Baker Street,31,2025-07-28 23:57:47,True,True,89.28333333333333,27.733333333333334,2.0,27.999,84.95,27.666666666666668,1.0,21.765
Farringdon,King's Cross St. Pancras,31,2025-07-28 23:57:47,True,True,11.55,4.0,0.0,2.171,11.55,4.0,0.0,2.171
Southgate,Manor House,31,2025-07-28 23:57:48,True,True,17.1,2.6166666666666667,0.0,8.088,17.1,2.6166666666666667,0.0,8.088
Archway,Euston LU,31,2025-07-28 23:57:49,True,True,16.766666666666666,7.75,0.0,4.878,16.766666666666666,7.75,0.0,4.878
Waterloo LU,Bank and Monument,31,2025-07-28 23:57:49,True,True,10.05,5.883333333333334,0.0,2.6,10.05,5.883333333333334,0.0,2.6
Reading,Slough,30,2025-07-28 23:57:50,True,True,29.5,11.466666666666667,0.0,28.838,29.5,11.466666666666667,0.0,28.838
Ealing Broadway,Heathrow Terminals 2 & 3 EL,30,2025-07-28 23:57:51,True,True,40.233333333333334,10.25,1.0,14.142,40.233333333333334,10.25,1.0,14.142
Ealing Broadway,West Ealing,30,2025-07-28 23:57:51,True,True,8.816666666666666,4.3,0.0,1.805,8.816666666666666,4.3,0.0,1.805
Golders Green,Edgware,30,2025-07-28 23:57:52,True,True,98.13333333333334,23.0,2.0,29.4,98.13333333333334,23.0,2.0,29.4
King's Cross St. Pancras,Farringdon,30,2025-07-28 23:57:53,True,True,9.233333333333333,5.733333333333333,0.0,2.251,9.233333333333333,5.733333333333333,0.0,2.251
Leicester Square,Green Park,30,2025-07-28 23:57:54,True,True,46.166666666666664,9.3,1.0,16.622,46.166666666666664,9.3,1.0,16.622
Upminster,Dagenham Heathway,30,2025-07-28 23:57:54,True,True,24.416666666666668,6.116666666666666,1.0,17.392,24.416666666666668,6.116666666666666,1.0,17.392
Southfields,Wimbledon,30,2025-07-28 23:57:55,True,True,94.16666666666667,9.466666666666667,2.0,27.15,94.16666666666667,9.466666666666667,2.0,27.15
High Barnet,East Finchley,30,2025-07-28 23:57:56,True,True,123.23333333333333,4.883333333333334,2.0,27.225,123.23333333333333,4.883333333333334,2.0,27.225
Notting Hill Gate,North Acton,30,2025-07-28 23:57:56,True,True,33.88333333333333,23.866666666666667,0.0,7.354,33.88333333333333,23.866666666666667,0.0,7.354
Tottenham Court Road,Green Park,29,2025-07-28 23:57:57,True,True,55.733333333333334,6.033333333333333,0.0,15.455,55.733333333333334,6.033333333333333,0.0,15.455
Barking,Walthamstow Queen's Road,29,2025-07-28 23:57:58,True,True,,,,,,,,
Richmond,Willesden Junction,29,2025-07-28 23:57:58,True,True,45.15,4.883333333333334,1.0,13.358,45.15,4.883333333333334,1.0,13.358
Colindale,Edgware,29,2025-07-28 23:57:59,True,True,16.75,6.75,0.0,4.86,16.75,6.75,0.0,4.86
Maidenhead,Iver,29,2025-07-28 23:58:00,True,True,195.33333333333334,64.68333333333334,2.0,24.817,195.33333333333334,64.68333333333334,2.0,24.817
Waterloo LU,Battersea Power Station,29,2025-07-28 23:58:00,True,True,18.083333333333332,9.066666666666666,0.0,5.208,18.083333333333332,9.066666666666666,0.0,5.208
Highgate,Totteridge & Whetstone,29,2025-07-28 23:58:01,True,True,23.1,14.016666666666667,0.0,8.539,23.1,14.016666666666667,0.0,8.539
Waterloo LU,Green Park,29,2025-07-28 23:58:02,True,True,47.61666666666667,16.433333333333334,0.0,19.846,47.61666666666667,16.433333333333334,0.0,19.846
Tottenham Court Road,Bank and Monument,29,2025-07-28 23:58:02,True,True,12.083333333333334,4.733333333333333,0.0,3.21,12.083333333333334,4.733333333333333,0.0,3.21
King's Cross St. Pancras,Oxford Circus,29,2025-07-28 23:58:03,True,True,10.066666666666666,5.066666666666666,0.0,2.665,10.066666666666666,5.066666666666666,0.0,2.665
King's Cross St. Pancras,Bank and Monument,29,2025-07-28 23:58:04,True,True,15.3,6.283333333333333,0.0,4.424,15.3,6.283333333333333,0.0,4.424
Ealing Broadway,West Drayton,29,2025-07-28 23:58:04,True,True,36.766666666666666,12.083333333333334,0.0,10.567,36.766666666666666,12.083333333333334,0.0,10.567
Shepherd's Bush LU,Marble Arch,29,2025-07-28 23:58:05,True,True,15.966666666666667,7.75,0.0,4.727,15.966666666666667,7.75,0.0,4.727
