Start_Station,End_Station,Frequency,collection_time,start_matched,end_matched,regular_total_time_min,regular_walking_time_min,regular_transfers,regular_distance_km,accessibility_total_time_min,accessibility_walking_time_min,accessibility_transfers,accessibility_distance_km,error
King's Cross St. Pancras,Euston Square,33,2025-07-17 14:33:16,False,True,,,,,,,,,station_not_matched
Stratford,Gants Hill,33,2025-07-17 14:33:16,True,False,,,,,,,,,station_not_matched
Richmond,Willesden Junction,33,2025-07-17 14:33:16,True,True,24.033333333333335,6.183333333333334,0.0,9.577,24.033333333333335,6.183333333333334,0.0,9.577,
Hendon Central,Chalk Farm,33,2025-07-17 14:33:18,False,False,,,,,,,,,station_not_matched
Manor House,Southgate,33,2025-07-17 14:33:18,False,False,,,,,,,,,station_not_matched
Putney Bridge,Wimbledon,32,2025-07-17 14:33:18,True,True,15.583333333333334,8.55,0.0,6.079,15.583333333333334,8.55,0.0,6.079,
Canary Wharf EL,Abbey Wood,32,2025-07-17 14:33:19,True,True,22.2,8.2,0.0,11.116,22.2,8.2,0.0,11.116,
Archway,Euston LU,32,2025-07-17 14:33:20,False,True,,,,,,,,,station_not_matched
Finchley Central,Kentish Town,32,2025-07-17 14:33:20,True,True,13.566666666666666,4.566666666666666,0.0,7.75,13.566666666666666,4.566666666666666,0.0,7.75,
King's Cross St. Pancras,Bank and Monument,32,2025-07-17 14:33:22,False,False,,,,,,,,,station_not_matched
Edgware,Golders Green,32,2025-07-17 14:33:22,False,True,,,,,,,,,station_not_matched
King's Cross St. Pancras,Baker Street,31,2025-07-17 14:33:22,False,True,,,,,,,,,station_not_matched
Leicester Square,Green Park,31,2025-07-17 14:33:22,True,True,56.11666666666667,8.616666666666667,1.0,17.974,56.11666666666667,8.616666666666667,1.0,17.974,
Bounds Green,Cockfosters,31,2025-07-17 14:33:23,True,True,133.93333333333334,16.633333333333333,1.0,53.542,133.93333333333334,16.633333333333333,1.0,53.542,
Southfields,Wimbledon,31,2025-07-17 14:33:24,True,True,72.06666666666666,15.0,2.0,26.983,78.25,29.7,1.0,28.696,
Harold Wood,Seven Kings,31,2025-07-17 14:33:25,False,True,,,,,,,,,station_not_matched
Oxford Circus,King's Cross St. Pancras,30,2025-07-17 14:33:25,False,False,,,,,,,,,station_not_matched
Colliers Wood,Morden,30,2025-07-17 14:33:25,False,False,,,,,,,,,station_not_matched
Gants Hill,Stratford,30,2025-07-17 14:33:25,False,True,,,,,,,,,station_not_matched
Victoria LU,Stockwell,30,2025-07-17 14:33:25,True,False,,,,,,,,,station_not_matched
Elephant & Castle LU,Clapham Common,30,2025-07-17 14:33:25,True,False,,,,,,,,,station_not_matched
Heathrow Terminals 123 LU,Osterley,30,2025-07-17 14:33:25,True,False,,,,,,,,,station_not_matched
King's Cross St. Pancras,Tottenham Court Road,30,2025-07-17 14:33:25,False,True,,,,,,,,,station_not_matched
Tottenham Court Road,St. Paul's,30,2025-07-17 14:33:25,True,False,,,,,,,,,station_not_matched
Paddington TfL,Baker Street,29,2025-07-17 14:33:25,True,True,77.11666666666666,8.333333333333334,2.0,26.284,81.71666666666667,22.283333333333335,1.0,26.267,
London Bridge LU,Southwark,29,2025-07-17 14:33:27,True,True,45.583333333333336,10.2,1.0,16.08,45.583333333333336,10.2,1.0,16.08,
London Bridge LU,Westminster,29,2025-07-17 14:33:28,True,True,15.85,7.266666666666667,0.0,3.866,15.85,7.266666666666667,0.0,3.866,
Liverpool Street LU,Canada Water,29,2025-07-17 14:33:29,True,True,38.45,7.4,0.0,5.182,38.45,7.4,0.0,5.182,
Bank and Monument,King's Cross St. Pancras,29,2025-07-17 14:33:31,False,False,,,,,,,,,station_not_matched
North Greenwich,Stratford,29,2025-07-17 14:33:31,True,True,15.716666666666667,6.716666666666667,0.0,5.254,15.716666666666667,6.716666666666667,0.0,5.254,
Tottenham Court Road,Green Park,29,2025-07-17 14:33:32,True,True,57.0,10.75,1.0,17.541,57.0,10.75,1.0,17.541,
Paddington TfL,Edgware Road (Bak),28,2025-07-17 14:33:33,True,True,53.46666666666667,18.6,1.0,17.658,53.46666666666667,18.6,1.0,17.658,
Paddington TfL,Oxford Circus,28,2025-07-17 14:33:35,True,False,,,,,,,,,station_not_matched
Ealing Broadway,West Ealing,28,2025-07-17 14:33:35,True,False,,,,,,,,,station_not_matched
Goodmayes,Maryland,28,2025-07-17 14:33:35,False,False,,,,,,,,,station_not_matched
Victoria LU,Tottenham Court Road,28,2025-07-17 14:33:35,True,True,27.833333333333332,6.716666666666667,0.0,3.467,27.833333333333332,6.716666666666667,0.0,3.467,
Wood Lane,Hammersmith (H&C),28,2025-07-17 14:33:36,True,False,,,,,,,,,station_not_matched
East Finchley,High Barnet,28,2025-07-17 14:33:36,False,True,,,,,,,,,station_not_matched
Tooting Bec,Morden,28,2025-07-17 14:33:36,True,False,,,,,,,,,station_not_matched
Brentwood,Goodmayes,28,2025-07-17 14:33:36,False,False,,,,,,,,,station_not_matched
King's Cross St. Pancras,Finsbury Park LU,28,2025-07-17 14:33:36,False,True,,,,,,,,,station_not_matched
Burnt Oak,Hampstead,28,2025-07-17 14:33:36,False,True,,,,,,,,,station_not_matched
Ladbroke Grove,Hammersmith (H&C),28,2025-07-17 14:33:36,True,False,,,,,,,,,station_not_matched
Golders Green,Edgware,27,2025-07-17 14:33:36,True,False,,,,,,,,,station_not_matched
Victoria LU,Green Park,27,2025-07-17 14:33:36,True,True,52.083333333333336,19.166666666666668,1.0,19.068,52.083333333333336,19.166666666666668,1.0,19.068,
Waterloo LU,Bank and Monument,27,2025-07-17 14:33:37,True,False,,,,,,,,,station_not_matched
Woolwich EL,Abbey Wood,27,2025-07-17 14:33:37,True,True,7.7,2.7,0.0,3.636,7.7,2.7,0.0,3.636,
Waterloo LU,Green Park,27,2025-07-17 14:33:38,True,True,48.45,16.433333333333334,0.0,19.846,48.45,16.433333333333334,0.0,19.846,
Forest Gate,Chadwell Heath,27,2025-07-17 14:33:40,True,True,61.85,8.183333333333334,2.0,12.288,61.85,8.183333333333334,2.0,12.288,
Enfield Town,Bruce Grove,27,2025-07-17 14:33:41,False,True,,,,,,,,,station_not_matched
Cutty Sark,Lewisham DLR,27,2025-07-17 14:33:41,True,True,8.833333333333334,5.1,0.0,1.288,8.833333333333334,5.1,0.0,1.288,
Maidenhead,Reading,27,2025-07-17 14:33:42,False,False,,,,,,,,,station_not_matched
Gants Hill,Grange Hill,27,2025-07-17 14:33:42,False,True,,,,,,,,,station_not_matched
Chalk Farm,Hendon Central,27,2025-07-17 14:33:42,False,False,,,,,,,,,station_not_matched
East Ham,North Greenwich,27,2025-07-17 14:33:42,False,True,,,,,,,,,station_not_matched
Paddington TfL,Wood Lane,27,2025-07-17 14:33:42,True,True,67.75,21.266666666666666,1.0,29.116,67.75,21.266666666666666,1.0,29.116,
Tufnell Park,West Finchley,27,2025-07-17 14:33:43,True,False,,,,,,,,,station_not_matched
Archway,Woodside Park,27,2025-07-17 14:33:43,False,False,,,,,,,,,station_not_matched
Goodmayes,Brentwood,26,2025-07-17 14:33:43,False,False,,,,,,,,,station_not_matched
Wembley Park,Rayners Lane,26,2025-07-17 14:33:43,False,True,,,,,,,,,station_not_matched
King's Cross St. Pancras,Seven Sisters,26,2025-07-17 14:33:43,False,True,,,,,,,,,station_not_matched
Slough,Reading,26,2025-07-17 14:33:43,False,False,,,,,,,,,station_not_matched
Chadwell Heath,Shenfield,25,2025-07-17 14:33:43,True,False,,,,,,,,,station_not_matched
Watford Junction,Headstone Lane,25,2025-07-17 14:33:43,True,True,16.916666666666668,3.9,0.0,8.512,16.916666666666668,3.9,0.0,8.512,
Southgate,Manor House,25,2025-07-17 14:33:45,False,False,,,,,,,,,station_not_matched
Waterloo LU,Oxford Circus,25,2025-07-17 14:33:45,True,False,,,,,,,,,station_not_matched
Slough,Southall,25,2025-07-17 14:33:45,False,False,,,,,,,,,station_not_matched
Beckton,Prince Regent,25,2025-07-17 14:33:45,False,True,,,,,,,,,station_not_matched
Leytonstone,Barkingside,25,2025-07-17 14:33:45,False,False,,,,,,,,,station_not_matched
Golders Green,Euston LU,25,2025-07-17 14:33:45,True,True,71.38333333333334,11.55,1.0,32.756,71.38333333333334,11.55,1.0,32.756,
